"title","author","publication_year","genre","synopsis"
"Mexican Literature","David William Foster","1992","Literary Collections","A registry of criticism on 78 writers of Mexico in all genres and periods."
"Catalogue of Foreign Books in the Tôkyô Imperial University 1923-1935: Law and politics: Pt. 1. Law books in English","Tōkyō Daigaku. Toshokan","1943","Law","Obra de Tōkyō Daigaku. Toshokan, publicada en 1943."
"3000-3999, Modern languages and literature","Princeton University. Library","1920","Classified catalogs","Obra de Princeton University. Library, publicada en 1920."
"Literatura latinoamericana","Universidad de Buenos Aires. Instituto de Literatura Hispanoamericana","1994","Latin American literature","Obra de Universidad de Buenos Aires. Instituto de Literatura Hispanoamericana, publicada en 1994."
"Pagine sparse di literatura e di storia","Alessandro D'Ancona","1914","Italian literature","Obra de Alessandro D'Ancona, publicada en 1914."
"Columbia University Bulletin of Information","Columbia University","1930","Ficción","Obra de Columbia University, publicada en 1930."
"Boletin de la Universidad de Guadalajara","Universidad de Guadalajara","1928","Ficción","Obra de Universidad de Guadalajara, publicada en 1928."
"Revista","Academia Brasileira de Letras","1929","Brazilian literature","Obra de Academia Brasileira de Letras, publicada en 1929."
"American Nation Series","Pan American Union","1926","Ficción","Obra de Pan American Union, publicada en 1926."
"Anales","Universidad de la República (Uruguay)","1903","Ficción","Obra de Universidad de la República (Uruguay), publicada en 1903."
"Catalog of Copyright Entries, Third Series","Library of Congress. Copyright Office","1974","Copyright","The record of each copyright registration listed in the Catalog includes a description of the work copyrighted and data relating to the copyright claim (the name of the copyright claimant as given in…"
"Union catalog of serials currently received in the libraries of the University of Wisconsin--Madison","University of Wisconsin--Madison. Libraries","1985","Libraries","Obra de University of Wisconsin--Madison. Libraries, publicada en 1985."
"Cómo leer literatura","Terry Eagleton","2016","Ficción","Obra de Terry Eagleton, publicada en 2016."
"Historia de la Literatura Hispanoamericana: 1780-1914","Raimundo Lazo","1967","Spanish American literature","Obra de Raimundo Lazo, publicada en 1967."
"Historia de la literatura española","Juan Luis Alborg","1970","Literary Collections","Una mirada de conjunto dirigida a la plenitud del siglo XVII nos proporciona la evidencia de hallarnos en una etapa literaria enteramente distinta de la anterior, pero ya no es tan haacedero delimita…"
"American Literature in Spain","John De Lancey Ferguson","1916","American literature","Obra de John De Lancey Ferguson, publicada en 1916."
"Pan American Miscellany","Pan American Union","1922","Ficción","Obra de Pan American Union, publicada en 1922."
"The Modern Language Review","John George Robertson","1921","Languages, Modern","Each number includes the section ""Reviews."""
"University of Wisconsin Studies in Language and Literature","University of Wisconsin. Department of Romance Languages","1924","French literature","Obra de University of Wisconsin. Department of Romance Languages, publicada en 1924."
"A Critical Dictionary of English Literature and British and American Authors, Living and Deceased, from the Earliest Accounts to the Latter Half of the Nineteenth Century","Samuel Austin Allibone","1871","American literature","Obra de Samuel Austin Allibone, publicada en 1871."
"Historia de la Literatura Mexicana","Sergio Howland Bustamante","1965","Ficción","Obra de Sergio Howland Bustamante, publicada en 1965."
"Estudios críticos sobre literatura, política y costumbres de nuestros días","Juan Valera","1864","Literature","Obra de Juan Valera, publicada en 1864."
"Los Miserables","Victor Hugo","2017","Ficción","considerada como una de las obras más conocidas del siglo XIX. La novela, de estilo romántico, plantea a través de su argumento un razonamiento sobre el bien y el mal, sobre la ley, la política, la é…"
"Inicios de una literatura regional","Dora Helena Tamayo Ortiz","2005","Colombian fiction","A la presente antologia la orientan dos preocupaciones fundamentales : brindar un panorama de la creacion narrativa en prosa surgida an Antioquia en la segunda mitad del siglo XIX y contribuir a la c…"
"XVII Congreso del Instituto Internacional de Literatura Iberoamericana","Instituto Internacional de Literatura Iberoamericana. Congreso","1978","Ficción","Obra de Instituto Internacional de Literatura Iberoamericana. Congreso, publicada en 1978."
"Prolegómenos de literatura é historia","Samuel Blixén","1892","Oriental literature","Obra de Samuel Blixén, publicada en 1892."
"Clases. Literatura y disidencia","Daniel Link","2025","Fiction","Veinte años después de su primera publicación, vuelve Clases, el primer volumen de una trilogía integrada también por Fantasmas y Suturas. Se suman a esta nueva edición un prólogo del autor y textos…"
"Origen, progresos y estado actual de toda la literatura","Giovanni Andrés","1787","Learning and scholarship","Obra de Giovanni Andrés, publicada en 1787."
"The New International Encyclopaedia","Frank Moore Colby","1928","Encyclopedias and dictionaries","Obra de Frank Moore Colby, publicada en 1928."
"Bibliografía general de la literatura latinoamericana","Unesco","1972","Latin America","Obra de Unesco, publicada en 1972."
"Discurso y literatura","Luis Barrera Linares","2003","Discourse analysis, Literary","Obra de Luis Barrera Linares, publicada en 2003."
"Lecciones de literatura","Francisco Navarro y Ledesma","1925","Literatura","Obra de Francisco Navarro y Ledesma, publicada en 1925."
"Historia de la literatura y del arte dramático en España, tomo III","Adolf Friedrich von Schack","2024","Literary Criticism","Sumérgete en la rica y vibrante historia de Historia de la literatura y del arte dramático en España, tomo III de Adolf Friedrich von Schack, donde se desentrañan las complejidades de la evolución li…"
"El arte de la literatura","Kurt Spang","2009","Comics & Graphic Novels","Obra de Kurt Spang, publicada en 2009."
"ALA Bulletin","American Library Association","1929","Library science","Obra de American Library Association, publicada en 1929."
"Caminando Por la Literatura","Javier Rivero Grandoso","2021","Ficción","En este volumen se estudian las relaciones entre literatura y turismo. Se analizan los relatos de viaje con respecto al turismo y se abordan actividades turísticas desarrolladas a partir de textos li…"
"Lengua y literatura: t.] Iniciación a la literatura (desde los origenes a Cervantes)","Guillermo Díaz-Plaja","1957","Spanish language","Obra de Guillermo Díaz-Plaja, publicada en 1957."
"Estetica é historia critica de la literatura desde su origen","Federico Gómez Arias","1852","Estètica","Obra de Federico Gómez Arias, publicada en 1852."
"Textos universitarios","Buenos Aires. Universidad. Instituto de Literatura Inglesa y Norteamericana","1954","American literature","Obra de Buenos Aires. Universidad. Instituto de Literatura Inglesa y Norteamericana, publicada en 1954."
"Lengua, literatura y educación","Oriniel Martínez Ibarra","2023","Study Aids","""Lengua, Literatura y Educación: perspectivas desde la revista Órbita Científica"" es una fascinante compilación de artículos que invita a adentrarse en el mundo de la formación docente, la enseñanza…"
"Literatura hablada","Juan Domingo Argüelles","2002","Authors, Mexican","Obra de Juan Domingo Argüelles, publicada en 2002."
"Historia crítica de la literatura Española","José Amador de los Rios","1861","Ficción","Obra de José Amador de los Rios, publicada en 1861."
"La literatura mexicana","Luis Mario Schneider","1967","Mexican literature","Obra de Luis Mario Schneider, publicada en 1967."
"Punto y aparte","Italo Calvino","1983","Ficción","Obra de Italo Calvino, publicada en 1983."
"Historia de la literatura universal","Martín de Riquer","1973","Ficción","Obra de Martín de Riquer, publicada en 1973."
"Lengua y literatura de España","Ernesto Giménez Caballero","1940","Spanish language","Obra de Ernesto Giménez Caballero, publicada en 1940."
"Congreso de literatura","II Congreso Mundial Vasco","1989","Ficción","Obra de II Congreso Mundial Vasco, publicada en 1989."
"La literatura considerada como una tauromaquia","Michel Leiris","1975","Ficción","Obra de Michel Leiris, publicada en 1975."
"El resplandor intelectual de las imágenes","José Pascual Buxó","2002","Emblem books, Spanish","Obra de José Pascual Buxó, publicada en 2002."
"Literatura en voz alta","Marco Antonio Campos","2001","Authors","Obra de Marco Antonio Campos, publicada en 2001."
"XVII [Decimoséptimo] Congreso del Instituto Internacional de Literatura Iberoamericana: Crítica histórico-literaria hispanoamericana","Centro Iberoamericano de Cooperación","1978","Spanish American literature","Obra de Centro Iberoamericano de Cooperación, publicada en 1978."
"Agustín Pérez Pardella","Duilio Ferraro","2002","Ficción","Obra de Duilio Ferraro, publicada en 2002."
"Historia y crítica de la literatura española: Edad Media","Francisco Rico","1980","Spanish literature","Esta obra quiere mostrar una imagen nueva de la literatura espanola: un panorama formado por las mejores paginas que la critica moderna, desde las perspectivas mas originales y reveladoras, ha dedica…"
"Literatura hispanoamericana","Julio Orlandi Araya","1963","Latin American literature","Obra de Julio Orlandi Araya, publicada en 1963."
"Presentación [de la revista Tema y variaciones de literatura, No. 16].","Oscar Mata Juárez","2001","Ficción","Presentación del número 16 de tema y variaciones de literatura dedicado a las principales corrientes y obras mexicanas del siglo XX, en un volumen que reúne tanto estudios panorámicos como acercamien…"
"Biblioteca selecta de literatura española, o, Modelos de elocuencia y poesia, tomados de los escritores mas célebres por P. Mendibil y M. Silvela","Pablo de Mendíbil","1819","Ficción","Obra de Pablo de Mendíbil, publicada en 1819."
"Historia de la literatura hispanoamericana","Enrique Anderson Imbert","1964","Spanish American literature","Obra de Enrique Anderson Imbert, publicada en 1964."
"Estudios y ensayos sobre literatura . Tercera Parte : ensayos sobre literatura contemporánea","Dámaso Alonso","1972","Ficción","Obra de Dámaso Alonso, publicada en 1972."
"De la crónica a la nueva narrativa mexicana","Merlin H. Forster","1986","Latin American literature","Obra de Merlin H. Forster, publicada en 1986."
"Ensayo Historico-Apologetico de la Literatura Española Contra las Opiniones Preocupadas de Algunos Escritores Modernos Italianos, Vol. 1","Francisco Xavier Lampillas","2018","Literary Criticism","Excerpt from Ensayo Historico-Apologetico de la Literatura Española Contra las Opiniones Preocupadas de Algunos Escritores Modernos Italianos, Vol. 1: Parte Primera de la Literatura Antigua Luego que…"
"Xaimaca","Ricardo Güiraldes","2023","Fiction","El libro ""Xaimaca"" de Ricardo Güiraldes es una novela que se sumerge en la vida y la cultura de Jamaica, un país que representa tanto un paraíso tropical como un escenario de complejidades sociales y…"
"The general and departmental libraries","University of California, Berkeley. Library","1928","Latin America","Obra de University of California, Berkeley. Library, publicada en 1928."
"La literatura espan̓ola en el siglo XIX","Francisco Blanco García","1912","Catalan literature","Obra de Francisco Blanco García, publicada en 1912."
"Elementos filosóficos de la literatura","Isaac Nuñez de Arenas","1858","Estètica","Obra de Isaac Nuñez de Arenas, publicada en 1858."
"Obras completas de D. Francisco Giner de los Ríos: Estudios de Literatura y arte","Francisco Giner de los Ríos","1919","Ficción","Obra de Francisco Giner de los Ríos, publicada en 1919."
"El extraño vicio de escribir","Ricardo Gil Otaiza","2008","Books and reading","Obra de Ricardo Gil Otaiza, publicada en 2008."
"Poéticas de autor en la literatura argentina, desde 1950","Víctor Gustavo Zonana","2007","Argentine poetry","Obra de Víctor Gustavo Zonana, publicada en 2007."
"El acoso de las fantasías","Slavoj Zizek","1999","Psychology","La fantasía guarda con la realidad una curiosa relación de lejanía y proximidad, creando un escenario en el que se opaca el horror real de la situación. Bajo esta perspectiva lacaniana, Slavoj vZivze…"
"Creación arte y psiquis","Guillermo Sánchez Medina","2003","Ficción","Obra de Guillermo Sánchez Medina, publicada en 2003."
"Las cosas como son y otras fantasías","Pau Luque","2020","Philosophy","Un libro inteligente y ágil, que profundiza en las complejas relaciones entre moral y ficción, que vuelven a estar –o acaso nunca han dejado de estarlo– en el centro del debate. ¿Hay arte moralmente…"
"Fantasías que crean empresa. Elementos psicoanalíticos sobre la génesis de las empresas familiares - 2da edición","Oscar Darío Ortiz Velasquez","2018","Business & Economics","La creación y la dirección de las empresas familiares están determinadas más por las fantasías inconscientes de sus fundadores y sus descendientes, que por los asuntos racionales. Esto es lo que los…"
"Lacan y lo político","Yannis Stavrakakis","2007","Psychoanalysis","Obra de Yannis Stavrakakis, publicada en 2007."
"3 libros de música en cifra","Alonso Mudarra","1984","Music","Estudio y edición musical de los ‘Tres libros de música en cifra para vihuela' (Sevilla: Juan de León, 1546) del compositor Alonso Mudarra (ýSevilla, 1580) a partir de un ejemplar conservado en la Bi…"
"Léxico psico(pato)lógico","Julio José Segarra Valls","2011","Medical","A modo de diccionario, este libro presenta 590 entradas que estructuran la teoría epistemológica de la conducta y de la sociedad que el profesor Carlos Castilla del Pino, figura indiscutible y refere…"
"EL LÉXICO DEL NORTE DE LA NAVEGACIÓN DE ANTONIO DE GAZTAÑETA","SAN MATEO VALDEHITA Alicia","2018","Language Arts & Disciplines","La publicación de El léxico del Norte de la navegación, de Antonio de Gaztañeta, se enmarca dentro del proyecto de investigación “Léxico y gramática en el siglo XVII: Edición y estudio lingüístico de…"
"The Complete Fantasias of Luys Milan","David Grimes","2016","Music","In his quest to compile an anthology of the best pieces by vihuela composers, David Grimes encountered the rich complexity of the music of Luys Milan. He also noticed many discrepancies in fingering…"
"Diccionario de chilenismos y de otras voces y locuciones viciosas","Manuel Antonio Romàn","1901","Spanish language","Obra de Manuel Antonio Romàn, publicada en 1901."
"Diccionario de chilenismos y de otras voces y locuciones viciosas","Manuel Antonio Román","1911","Encyclopedias and dictionaries, Spanish","Obra de Manuel Antonio Román, publicada en 1911."
"Edición nacional de las obras completas de Menéndez Pelayo","Marcelino Menéndez y Pelayo","1947","Ficción","Obra de Marcelino Menéndez y Pelayo, publicada en 1947."
"Nuevo fondo total","Rogelio Navarro","1969","Ficción","Obra de Rogelio Navarro, publicada en 1969."
"Cuadros de la fantasia y de la vida real","Enrique Ramírez de Saavedra Rivas (duque de)","1897","Ficción","Obra de Enrique Ramírez de Saavedra Rivas (duque de), publicada en 1897."
"Teoría de la crítica literaria","Pedro Aullón de Haro","1994","Education","Conjunto de monografías que recopila las diversas vertientes disciplinarias de las líneas maestras de la crítica literaria contemporánea para desembocar en el estado más avanzado del pensamiento meto…"
"El feminismo que no llegó al poder","Paloma Uría","2009","Social Science","Las polémicas teóricas e ideológicas feministas reproducen los debates más importantes del pensamiento filosófico y político contemporáneo. Las críticas feministas a la razón ilustrada, al liberalism…"
"Manual psicología, lógica y ética","U. González Serrano","1880","Lògica","Obra de U. González Serrano, publicada en 1880."
"Memoria sobre los negocios correspondientes a los depachos del interior y justicia del gobierno de Venezuela","Venezuela. Ministerio de Relaciones Interiores","1929","Venezuela","Obra de Venezuela. Ministerio de Relaciones Interiores, publicada en 1929."
"Vida y sentido","Luis Abad Carretero","1960","Filosofía española","Obra de Luis Abad Carretero, publicada en 1960."
"Interpretación pictórica del ""Quijote"" por Doré","Miguel Romera-Navarro","1946","Illustrators","Obra de Miguel Romera-Navarro, publicada en 1946."
"VOX Diccionario Escolar, 2nd Edition","Vox","2011","Foreign Language Study","Provides definitions for more than 38,000 contemporary Spanish words and phrases, including information on usage, synonyms, and antonyms, and offers complete conjugations of irregular verbs."
"Boletín Informativo","Argentina. Departamento Nacional del Trabajo","1942","Ficción","Obra de Argentina. Departamento Nacional del Trabajo, publicada en 1942."
"Expresiones culturales y de género","Ute Seydel","2006","Art, Mexican","Obra de Ute Seydel, publicada en 2006."
"Bienvenidos a la fiesta","Luis Daniel González","2001","Biography & Autobiography","Obra de Luis Daniel González, publicada en 2001."
"Album de la Oficina internacional americana para la protección de las marcas de fábrica y de comercio","Inter-American Trade-mark Bureau","1922","Trademarks","Obra de Inter-American Trade-mark Bureau, publicada en 1922."
"Literatura (parte general)","Mario Méndez Bejarano","1902","Language and languages","Obra de Mario Méndez Bejarano, publicada en 1902."
"Estética como ciencia de la expresión y lingüística general","Benedetto Croce","1912","Aesthetics","Obra de Benedetto Croce, publicada en 1912."
"Sur","Victoria Ocampo","1962","Argentina","Obra de Victoria Ocampo, publicada en 1962."
"Curso superior de literatura preceptiva","Pedro Bernaola de San Martin","1928","Literature","Obra de Pedro Bernaola de San Martin, publicada en 1928."
"Del romanticismo al realismo","Sociedad de Literatura Española del Siglo XIX. Coloquio","1998","Naturalism in literature","Obra de Sociedad de Literatura Española del Siglo XIX. Coloquio, publicada en 1998."
"Baile y filosofía","Roberto Gache","1922","Argentina","Obra de Roberto Gache, publicada en 1922."
"Una interpretación de Cien años de soledad","Estrella Cartín de Guier","1983","Macondo (Imaginary place)","Obra de Estrella Cartín de Guier, publicada en 1983."
"La contemplación del arte y la evolución artística (estudios sobre teoría general del arte)","José Jordán de Urríes y Azara","1943","Aesthetics","Obra de José Jordán de Urríes y Azara, publicada en 1943."
"Caras y caretas","Mocho (Fray)","1916","Argentina","Obra de Mocho (Fray), publicada en 1916."
"IIE, Revista del Instituto de Investigaciones Educativas","Instituto de Investigaciones Educativas","1981","Argentina","Obra de Instituto de Investigaciones Educativas, publicada en 1981."
"De nuestra historia","José Ignacio Yani","1915","South America","Obra de José Ignacio Yani, publicada en 1915."
"La nación (im)posible","Pablo San Martín Antuña","2006","History","Obra de Pablo San Martín Antuña, publicada en 2006."
"The Orphée Data-base of Guitar Records","Matanya Ophee","1990","Music","Obra de Matanya Ophee, publicada en 1990."
"Elementos de filosofía especulativa segun las doctrinas de los escolásticos y singularmente de Santo Tomás de Aquino","Giuseppe Prisco","1884","Escolasticisme","Obra de Giuseppe Prisco, publicada en 1884."
"Cuban Festivals","Judith Bettelheim","1993","Social Science","Review: ""Presents an ethnography of the carnival in Santiago de Cuba and translation of the work of Fernando Ortiz on the Day of Kings national festival. Includes a glossary of carnival terms by Cuba…"
"Propalladia: Torres Naharro and the Drama of the Renaissance","Bartolomé de Torres Naharro","1944","Ficción","Obra de Bartolomé de Torres Naharro, publicada en 1944."
"Six Silver Moonbeams","Richard Dwight Stover","1992","Biography & Autobiography","Obra de Richard Dwight Stover, publicada en 1992."
"Narrative Magic in the Fiction of Isabel Allende","Patricia Hart","1989","Fiction","Obra de Patricia Hart, publicada en 1989."
"Fantasías indíjenas","José Joaquín Pérez","1877","Indians of the West Indies","Obra de José Joaquín Pérez, publicada en 1877."
"Manual del confitero","Léon Arnou","1909","Confectionery","Obra de Léon Arnou, publicada en 1909."
"Appleton's New Spanish-English and English-Spanish Dictionary","Arturo Cuyás","1903","English language","Obra de Arturo Cuyás, publicada en 1903."
"Mensaje del Gobernador general Francis Burton Harrison a la tercera Legislatura filipina, pronunciado el 16 de Oct. de 1914","Philippines. Governor (1913-1921 : Harrison)","1914","Ficción","Obra de Philippines. Governor (1913-1921 : Harrison), publicada en 1914."
"Encuentro Internacional Narradores de esta América","Fondo de Cultura Económica","1998","Literary Criticism","Esta obra re ne los textos del Encuentro Internacional ""Narradores de esta Am rica"", organizado por la Universidad de Lima en noviembre de 1997, donde 40 destacados narradores de la regi n expusieron…"
"Rebuso de voces castizas","Juan Mir y Noguera","1907","Spanish language","Obra de Juan Mir y Noguera, publicada en 1907."
"Diccionario de galicismos","Rafael María Baralt","1874","Spanish language","Obra de Rafael María Baralt, publicada en 1874."
"Boletin de industria, comercio y trabajo ...","Mexico. Secretaría de Industria, Comercio y Trabajo","1919","Labor","Obra de Mexico. Secretaría de Industria, Comercio y Trabajo, publicada en 1919."
"Diccionario biográfico y bibliográfico de calígrafos españoles","Emilio Cotarelo y Mori","1916","Calligraphers","Obra de Emilio Cotarelo y Mori, publicada en 1916."
"Diálogo de la lengua und Refranes","Juan de Valdés","1895","Proverbs, Spanish","Obra de Juan de Valdés, publicada en 1895."
"Inn Places","Ferrari International","1999","Travel","This is the most highly acclaimed guide to gay and lesbian accommodations. Exclusively about gay and lesbian and gay-friendly accommodations, this guide serves up all the detail one needs to choose t…"
"Neues spanisch-deutsches und deutsch-spanisches Wörterbuch","Louis Tolhausen","1888","Ficción","Obra de Louis Tolhausen, publicada en 1888."
"The Art of Julian Bream","Graham Wade","2008","Guitarists","""Julian Bream's influence is apparent in every area of the classical guitar repertoire, He transcribed Baroque works by Scarlatti, Buxtehude, Cimarosa, etc., and is acknowledged as one of the great i…"
"Boletín de la Real Sociedad Geográfica","Real Sociedad Geográfica (Spain)","1882","Geography","Obra de Real Sociedad Geográfica (Spain), publicada en 1882."
"Journal of the Warburg and Courtauld Institutes","Warburg Institute","1959","Art","Obra de Warburg Institute, publicada en 1959."
"Neues spanisch-deutsches und deutsch-spanisches wörterbuch: bd. Deutsch-spanisch","Louis Tolhausen","1897","German language","Obra de Louis Tolhausen, publicada en 1897."
"Dragones de Stygia IV","Círculo de Fantasía","2020","Ficción","La cuarta antología del grupo Círculo de Fantasía está compuesta por 14 relatos y, además, contiene una historia nexo que sirve de unión a las demás, lo que hace de esta antología una lectura muy esp…"
"Pampa Central: pt. 1884-1924","Jorge Etchenique","2001","Constitutional history","Obra de Jorge Etchenique, publicada en 2001."
"Pre-published papers for plenary and seminar discussion","Stockholm International Psycho-analytical Congress. 23d","1963","Ficción","Obra de Stockholm International Psycho-analytical Congress. 23d, publicada en 1963."
"The New Grove Dictionary of Music and Musicians","Stanley Sadie","2001","Music","Obra de Stanley Sadie, publicada en 2001."
"The New Grove Dictionary of Music and Musicians: Russian Federation, II to Scotland","Stanley Sadie","2001","Music","Obra de Stanley Sadie, publicada en 2001."
"Diccionario de la lengua española","Real Academia Española","1925","Spanish language","Dedicatoria: De la biblioteca de Marco Fidel Suarez su familia retiro este libro que, por mediacion del suscrito consagra al Dr. Jose J. Escobar, como prenda de admiracion a su incansable labor por l…"
"Appleton's New English-Spanish and Spanish-English Dictionary","Arturo Cuyás","1930","English language","Obra de Arturo Cuyás, publicada en 1930."
"Psicología de la fantasía","I. M. Rozet","1981","Psychology","La autora trata de determinar en esta obra el conjunto de fenómenos que constituyen la base de la fantasía, entendiendo que este término se refiere a cualquier actividad mental productiva, con indepe…"
"Diccionario general de la lengua castellana ...","Antonio San de Velilla","1906","Catalan language","Obra de Antonio San de Velilla, publicada en 1906."
"Aquí está mi corazón","Gastón Herrera Cagigao","2007","Ficción","Obra de Gastón Herrera Cagigao, publicada en 2007."
"Los mundos posibles","JOSE. TORRES","2022","Fiction","La fantasía nos ha atravesado de múltiples formas a lo largo de la vida, el primer acercamiento nos lleva a recordar la infancia, donde la creación de mundos posibles nos permitía vivir llenos de aso…"
"Diccionario de la lengua española","Salvador Viada y Vilaseca","1903","Spanish language","Obra de Salvador Viada y Vilaseca, publicada en 1903."
"Music in Print Master Title Index, 1999","emusicquest","1999","Music","Obra de emusicquest, publicada en 1999."
"En el país de la fantasía - Al país de la fantasia","María Pilar Cabré Llauradó","2017","Ficción","Libro bilingüe Español – Catalán En el país de la fantasía, en un ambiente donde reinaba la alegría y la concordia, se vive en paz y armonía entre diversos seres míticos, aunque no todo sale bien sie…"
"Mundo Fantasía","Cristina Cabrera Arias","2021","Juvenile Fiction","Julia es una niña de siete años que sale de excursión con sus compañeros de clase y su mascota Pelusa, una gatita negra que siempre la acompaña. Sin quererlo, se verá envuelta en una aventura monumen…"
"Visiones contemporáneas de la fantasía épica","Antonio Castro Balbuena","2024","Literary Collections","Contar historias va más allá de las palabras que las conforman. A partir de esta premisa, que marca la narratología de los últimos años, nace esta monografía con el objetivo de clarificar, dilucidar…"
"Historias Increíbles Del Mundo De Fantasía","Amrahs Hseham","2024","Fiction","""La llamada de la Muerte"" presenta a Ludwig, atrapado por siniestros susurros de lo sobrenatural en el paisaje alemán. Esta narrativa explora el folclore y la exploración existencial, desplegando un…"
"Los reinos de la fantasía: el mal que renace","Esteban Herrera Aleu","2023","Comics & Graphic Novels","Título del Libro: Los reinos de la fantasía: el mal que renace. Sumérgete en esta fascinante historia, donde la magia y las sombras se entrelazan en un vibrante tapiz de aventura y misterio. Esta pri…"
"LAS PRUEBAS DE LA LUNA PLATEADA / FANTASÍA / ROMANCE","Adrian iturbe sanchez","2025","Art","LAS PRUEBAS DE LA LUNA PLATEADA EL JARDÍN DE LAS SOMBRAS 2DO LIBRO AUTOR: ADRIAN ITURBE SANCHEZ ©2021 Derechos reservados “Algunas flores no nacen para ser cortadas, sino para contar lo que el tiempo…"
"Fantasía secreta","Carly Phillips","2018","Fiction","El futuro profesional del reportero Doug Houston parecía muy negro. Después de un error, se dio cuenta de que la única manera de salvar su integridad profesional era dar con la novia que había dejado…"
"Fantasía oriental","Olga Santoyo de Matamoros","1969","Tales","Obra de Olga Santoyo de Matamoros, publicada en 1969."
"Fantasía Erótica Eterna: 10 Novelas de Romance, Fantasía Y Erótica En 1 Colección","Gema Perez","2019","Fiction","¡Temporalmente a sólo 9,99! Precio normal 29,90. (Descuento del 66%. 3x1)Estás frente a una colección que incluye 10 libros escritos por Gema Perez.A continuación te dejo los títulos de las obras: La…"
"Los Bionueces. Un mundo de fantasía","Lucila Ruiz","2024","Fiction","""LOS BIONUECES"" es una novela de fantasía. Cada página de la historia te adentrará en un universo lleno de personajes fantásticos con sorprendentes peculiaridades. Esta novela es apta para lectores a…"
"Fantasía y Ficción en pequeñas dosis","F. J. Sanz","2018","Fiction","""En una sombría taza de retorcida filigrana gótica, mezclamos un chorrito de fantasía épica tradicional, una cucharada de ciencia-ficción apocalíptica y unas gotas de rezumante terror paranormal, tod…"
"Fantasía","Macarena Pinedo López","2019","Fiction","Martín es un atractivo hombre que ya ha traspasado la barrera de los cuarenta, aunque lo cierto es que se encuentra en el mejor momento de su vida. Tiene un trabajo estable, una novia preciosa y much…"
"Mundo de fantasía","Amparo G. de Rocha","1977","Ficción","Obra de Amparo G. de Rocha, publicada en 1977."
"Grimorio 13. Antología de Fantasía Oscura Española","Álvaro Aparicio","2017","Fiction","Eh, tú. Sí. Tú. Ya has empezado a leer. Me temo que no hay escapatoria para ti. Cuéntame una historia. ¿Qué? ¿No te viene ninguna a la cabeza? Mentira. Todos recordamos historias. La niña de aquella…"
"Fantasia Libro de Colorear","Lea Schöning Bb","2023","Fiction","70 asombrosos dibujos de fantasía para colorear de Lea Schöning Fantasy Mandala Colouring Book ofrece una forma única de expresar tu creatividad a la vez que fomenta la relajación. Las páginas del li…"
"Fantasía Interminable","Daniel Santos","2019","Ficción","¡Temporalmente a sólo 9,99! Precio normal 29,90. (Descuento del 66%. 3x1)Estás frente a una colección que incluye 10 libros escritos por Daniel Santos.A continuación te dejo los títulos de las obras:…"
"Cuentos de Fantasía","Alicia Torres","2022","Ficción","En estos ́ ́Cuentos de Fantasía ́ ́, dejaremos volar nuestra imaginación. Te acompañaré y encontrarás curiosidades, también historias en las cuales el valor de la amistad es muy importante. Viajaremo…"
"La internacionalización de la jurisdicción penal","Rafael A. Prieto Sanjuán","2005","Criminal jurisdiction","CONTENIDO: Tribunales de posguerra - Después de la Gran Guerra, procesar al emperador Guillermo II - Juzgar grandes criminales del a segunda guerra mundial - Con relación a la descomposición del orde…"
"“Las” siete partidas del Sabio Rey Don Alonso el Nono, nuevamente glosadas (por Gregorio Lopez Tovar). Con ... Reportorio ... del Testo como de la Glossa (y Tabla de los titulos.)","Alfons X. (der Weise, Kastilien-LÃ©on, KÃ¶nig)","1611","Ficción","Obra de Alfons X. (der Weise, Kastilien-LÃ©on, KÃ¶nig), publicada en 1611."
"Leyes 19.576 a la 19.600","Chile","1999","Ficción","Obra de Chile, publicada en 1999."
"Corpus Juris","William Mack","1918","Law","Obra de William Mack, publicada en 1918."
"Evidence","Steven Emanuel","2001","Law","This study aid focuses on the Federal Rules of Evidence, now adopted not only in the federal system but in more than half of the states. But you also learn the longstanding rules of Evidence-- the co…"
"The College Law Dictionary","James Arthur Ballentine","1948","Law","Obra de James Arthur Ballentine, publicada en 1948."
"Black's Law Dictionary with Pronunciations","Henry Campbell m.fl Black","1990","Ficción","Obra de Henry Campbell m.fl Black, publicada en 1990."
"Annotated Leading Cases of International Criminal Tribunals","André Klip","2008","History","This 15th volume of Annotated Leading Cases of International Criminal Tribunals contains the most important decisions of the International Criminal Tribunal for the former Yugoslavia from October 14,…"
"The International Criminal Tribunal for the former Yugoslavia 2003","André Klip","2008","Crimes against humanity","Obra de André Klip, publicada en 2008."
"California Community Crime Resistance Program","California. Office of Criminal Justice Planning","1982","Crime prevention","Obra de California. Office of Criminal Justice Planning, publicada en 1982."
"A Law Dictionary of Words, Terms, Abbreviations and Phrases which are Peculiar to the Law and of Those which Have a Peculiar Meaning in the Law","James Arthur Ballentine","1916","Encyclopedias and dictionaries","Obra de James Arthur Ballentine, publicada en 1916."
"The Impact of Crime on Victims","Texas. Crime Victims' Institute","1998","Victims of crimes","Obra de Texas. Crime Victims' Institute, publicada en 1998."
"The Cyclopedic Dictionary of Law","Walter A. Shumaker","1901","Law","Obra de Walter A. Shumaker, publicada en 1901."
"The Tragic Drama of the Greeks","Arthur Elam Haigh","1925","Greek drama (Tragedy)","Obra de Arthur Elam Haigh, publicada en 1925."
